Customer ID,InvoiceDate,Recency,Lifespan,Frequency,Monetary,TotalItems,AvgBasketSize,AvgSpendPerInvoice,R_Score,F_Score,M_Score,RFM_Score,Segment
12377.0,2011-01-28 15:45:00,315,39,2,1628.12,944,472.0,814.06,1,2,4,124,At Risk
12378.0,2011-08-02 10:34:00,130,0,1,4008.62,2529,2529.0,4008.62,2,1,5,215,At Risk
12379.0,2011-09-19 10:09:00,82,88,2,852.24,407,203.5,426.12,2,2,3,223,At Risk
12380.0,2011-11-18 11:27:00,22,164,4,2724.81,1127,281.75,681.2025,4,4,5,445,Loyal
12381.0,2011-12-05 12:44:00,5,115,5,1845.31,808,161.6,369.062,5,4,4,544,Loyal
12383.0,2011-06-08 08:02:00,185,167,5,1850.56,1532,306.4,370.11199999999997,1,4,4,144,Others
12384.0,2011-11-11 08:39:00,29,92,2,585.27,126,63.0,292.635,4,2,3,423,Others
12386.0,2011-01-06 12:37:00,338,29,2,401.9,354,177.0,200.95,1,2,2,122,At Risk
12388.0,2011-11-24 12:30:00,16,311,6,2780.66,1462,243.66666666666666,463.4433333333333,4,4,5,445,Loyal
12390.0,2011-09-21 09:33:00,80,0,1,549.84,353,353.0,549.84,2,1,3,213,At Risk
12391.0,2011-11-18 12:07:00,22,0,1,460.89,300,300.0,460.89,4,1,2,412,Others
12393.0,2011-09-28 15:41:00,72,260,4,1582.6000000000001,816,204.0,395.65000000000003,3,4,4,344,Others
12394.0,2011-10-07 08:08:00,64,153,2,1272.48,819,409.5,636.24,3,2,4,324,Others
12395.0,2011-11-20 15:21:00,19,351,12,3018.63,2118,176.5,251.5525,4,5,5,455,Loyal
12397.0,2011-11-04 09:52:00,36,99,2,2409.9,1263,631.5,1204.95,3,2,5,325,Others
12398.0,2011-10-25 10:27:00,46,0,1,1635.6599999999999,1394,1394.0,1635.6599999999999,3,1,4,314,Others
12399.0,2011-08-12 13:15:00,119,142,4,1108.65,1178,294.5,277.1625,2,4,4,244,Others
12401.0,2011-02-09 13:50:00,303,0,1,84.3,11,11.0,84.3,1,1,1,111,At Risk
12402.0,2011-01-20 13:49:00,323,0,1,225.6,94,94.0,225.6,1,1,1,111,At Risk
12403.0,2011-10-21 10:51:00,50,0,1,427.7,96,96.0,427.7,3,1,2,312,Others
12405.0,2011-07-14 08:52:00,149,0,1,1710.39,857,857.0,1710.39,2,1,4,214,At Risk
12406.0,2011-11-17 19:22:00,22,161,2,3415.3,1818,909.0,1707.65,4,2,5,425,Big Spender
12407.0,2011-10-21 10:11:00,50,214,5,1708.1200000000001,1416,283.2,341.624,3,4,4,344,Others
12408.0,2011-11-07 12:27:00,33,227,5,2888.55,1409,281.8,577.71,4,4,5,445,Loyal
12409.0,2011-09-22 10:38:00,79,103,3,11072.67,5551,1850.3333333333333,3690.89,2,3,5,235,Others
12410.0,2011-02-04 10:39:00,309,0,2,693.3299999999999,211,105.5,346.66499999999996,1,2,3,123,At Risk
12412.0,2011-09-26 10:16:00,75,94,3,1226.88,829,276.3333333333333,408.96000000000004,2,3,4,234,Others
12413.0,2011-10-04 09:00:00,67,270,3,758.1,286,95.33333333333333,252.70000000000002,3,3,3,333,Others
12414.0,2011-05-06 14:51:00,217,93,3,562.41,300,100.0,187.47,1,3,3,133,Others
12415.0,2011-11-15 14:22:00,24,313,21,124914.53,77374,3684.4761904761904,5948.310952380953,4,5,5,455,Loyal
12417.0,2011-12-06 14:52:00,3,354,9,3649.1,1552,172.44444444444446,405.4555555555555,5,5,5,555,Champion
12418.0,2011-08-19 11:08:00,113,0,1,668.58,407,407.0,668.58,2,1,3,213,At Risk
12420.0,2011-10-07 08:55:00,64,0,1,600.39,345,345.0,600.39,3,1,3,313,Others
12421.0,2011-11-24 09:07:00,16,303,4,807.04,484,121.0,201.76,4,4,3,443,Loyal
12422.0,2011-09-05 09:48:00,96,229,3,803.5600000000001,370,123.33333333333333,267.85333333333335,2,3,3,233,Others
12423.0,2011-12-09 10:10:00,1,352,8,1859.31,1339,167.375,232.41375,5,5,4,554,Loyal
12424.0,2011-06-30 12:06:00,163,0,2,1760.96,740,370.0,880.48,2,2,4,224,At Risk
12425.0,2011-09-22 17:31:00,78,0,1,777.2,496,496.0,777.2,2,1,3,213,At Risk
12426.0,2011-05-29 12:26:00,195,0,1,582.73,258,258.0,582.73,1,1,3,113,At Risk
12427.0,2011-11-18 08:56:00,22,349,3,825.8,533,177.66666666666666,275.26666666666665,4,3,3,433,Others
12428.0,2011-11-14 08:22:00,26,257,9,7956.46,3536,392.8888888888889,884.0511111111111,4,5,5,455,Loyal
12429.0,2011-11-30 17:22:00,9,356,4,3750.4,1557,389.25,937.6,5,4,5,545,Loyal
12430.0,2011-10-27 15:09:00,43,0,1,256.4,117,117.0,256.4,3,1,2,312,Others
12431.0,2011-11-04 11:55:00,36,338,15,6487.45,2906,193.73333333333332,432.49666666666667,3,5,5,355,Others
12432.0,2011-10-28 11:43:00,43,129,5,5059.32,1801,360.2,1011.8639999999999,3,4,5,345,Others
12433.0,2011-12-09 10:02:00,1,372,7,13375.87,11071,1581.5714285714287,1910.8385714285716,5,5,5,555,Champion
12434.0,2011-09-16 12:38:00,85,175,2,806.14,394,197.0,403.07,2,2,3,223,At Risk
12435.0,2011-09-21 09:06:00,80,188,2,7829.89,2055,1027.5,3914.945,2,2,5,225,At Risk
12436.0,2011-09-01 12:09:00,100,0,1,509.01,211,211.0,509.01,2,1,3,213,At Risk
12437.0,2011-12-08 11:35:00,2,329,18,4951.41,2922,162.33333333333334,275.0783333333333,5,5,5,555,Champion
12438.0,2011-11-25 13:28:00,14,125,2,2906.85,1180,590.0,1453.425,4,2,5,425,Big Spender
12441.0,2010-12-08 10:45:00,367,0,1,173.55,121,121.0,173.55,1,1,1,111,At Risk
12442.0,2011-12-06 14:22:00,3,0,1,172.06,182,182.0,172.06,5,1,1,511,New Customer
12444.0,2011-11-18 13:23:00,21,149,5,5005.46,1153,230.6,1001.092,4,4,5,445,Loyal
12445.0,2011-11-17 18:43:00,22,0,1,133.4,62,62.0,133.4,4,1,1,411,Others
12446.0,2011-10-13 12:50:00,58,0,1,1002.3100000000001,351,351.0,1002.3100000000001,3,1,4,314,Others
12447.0,2011-04-10 13:25:00,243,0,1,476.49,190,190.0,476.49,1,1,2,112,At Risk
12448.0,2011-10-26 13:46:00,44,0,1,449.45,243,243.0,449.45,3,1,2,312,Others
12449.0,2011-11-17 13:46:00,22,164,4,4067.29,1553,388.25,1016.8225,4,4,5,445,Loyal
12450.0,2011-07-06 14:41:00,156,17,2,197.88,128,64.0,98.94,2,2,1,221,At Risk
12451.0,2011-11-29 08:40:00,11,313,5,9035.52,6575,1315.0,1807.104,5,4,5,545,Loyal
12452.0,2011-11-23 10:28:00,17,0,2,430.57,185,92.5,215.285,4,2,2,422,Others
12453.0,2011-07-28 14:08:00,134,0,1,707.09,473,473.0,707.09,2,1,3,213,At Risk
12454.0,2011-10-14 17:13:00,56,0,1,3528.34,1006,1006.0,3528.34,3,1,5,315,Others
12455.0,2011-09-27 15:31:00,73,223,6,2466.86,2089,348.1666666666667,411.1433333333334,2,4,5,245,Others
12456.0,2011-10-26 14:41:00,44,210,3,3181.04,1633,544.3333333333334,1060.3466666666666,3,3,5,335,Others
12457.0,2011-10-04 13:13:00,66,172,7,2363.23,843,120.42857142857143,337.6042857142857,3,5,5,355,Others
12458.0,2011-09-29 15:25:00,71,213,2,947.4,506,253.0,473.7,3,2,4,324,Others
12461.0,2011-09-06 16:57:00,94,60,2,826.88,287,143.5,413.44,2,2,3,223,At Risk
12462.0,2011-11-21 09:11:00,19,284,2,1189.59,536,268.0,594.795,4,2,4,424,Big Spender
12463.0,2011-10-17 13:44:00,53,188,4,1344.78,776,194.0,336.195,3,4,4,344,Others
12464.0,2011-11-29 13:33:00,10,299,8,1212.05,112,14.0,151.50625,5,5,4,554,Loyal
12465.0,2011-11-22 16:34:00,17,152,2,742.1899999999999,479,239.5,371.09499999999997,4,2,3,423,Others
12468.0,2011-06-05 11:36:00,188,128,2,729.5400000000001,366,183.0,364.77000000000004,1,2,3,123,At Risk
12471.0,2011-12-07 15:43:00,2,362,30,19824.05,8212,273.73333333333335,660.8016666666666,5,5,5,555,Champion
12472.0,2011-11-07 14:01:00,32,336,7,6572.11,4148,592.5714285714286,938.8728571428571,4,5,5,455,Loyal
12473.0,2011-11-10 13:46:00,29,162,5,3938.5499999999997,2439,487.8,787.7099999999999,4,4,5,445,Loyal
12474.0,2011-11-22 14:39:00,17,312,18,7375.79,4847,269.27777777777777,409.7661111111111,4,5,5,455,Loyal
12475.0,2011-10-17 10:10:00,54,0,1,723.38,535,535.0,723.38,3,1,3,313,Others
12476.0,2011-11-24 12:40:00,16,345,11,6816.42,2408,218.9090909090909,619.6745454545454,4,5,5,455,Loyal
12477.0,2011-11-17 09:51:00,23,278,6,13219.74,3653,608.8333333333334,2203.29,4,4,5,445,Loyal
12478.0,2011-12-06 09:56:00,4,0,1,680.99,236,236.0,680.99,5,1,3,513,New Customer
12479.0,2011-11-28 13:26:00,11,0,1,527.2,385,385.0,527.2,5,1,3,513,New Customer
12480.0,2011-11-11 14:52:00,28,307,4,3281.63,1707,426.75,820.4075,4,4,5,445,Loyal
12481.0,2011-11-17 08:29:00,23,342,10,5596.32,3304,330.4,559.632,4,5,5,455,Loyal
12483.0,2011-11-22 17:02:00,17,322,8,2484.98,1110,138.75,310.6225,4,5,5,455,Loyal
12484.0,2011-11-07 11:37:00,33,303,6,4541.72,2191,365.1666666666667,756.9533333333334,4,4,5,445,Loyal
12488.0,2011-11-30 08:50:00,10,65,3,1298.66,529,176.33333333333334,432.8866666666667,5,3,4,534,Big Spender
12489.0,2011-01-07 13:13:00,336,0,1,334.93,105,105.0,334.93,1,1,2,112,At Risk
12490.0,2011-12-04 16:07:00,5,324,10,5417.93,3064,306.4,541.793,5,5,5,555,Champion
12491.0,2011-11-01 12:18:00,39,0,1,460.40000000000003,260,260.0,460.40000000000003,3,1,2,312,Others
12492.0,2011-10-07 15:15:00,63,42,2,263.21000000000004,192,96.0,131.60500000000002,3,2,2,322,Others
12493.0,2011-06-27 10:17:00,166,31,2,433.74,207,103.5,216.87,2,2,2,222,At Risk
12494.0,2011-11-24 09:34:00,16,349,7,1246.1000000000001,707,101.0,178.01428571428573,4,5,4,454,Loyal
12497.0,2011-09-19 12:29:00,82,0,1,1043.1,1236,1236.0,1043.1,2,1,4,214,At Risk
12498.0,2011-11-18 12:53:00,21,36,3,403.70000000000005,159,53.0,134.5666666666667,4,3,2,432,Others
12500.0,2011-11-16 16:20:00,23,310,11,4257.82,2678,243.45454545454547,387.07454545454544,4,5,5,455,Loyal
12501.0,2011-01-07 12:28:00,337,0,1,2169.39,1783,1783.0,2169.39,1,1,5,115,At Risk
12502.0,2011-09-05 11:52:00,96,214,5,3723.87,820,164.0,744.774,2,4,5,245,Others
12504.0,2011-11-21 16:02:00,18,12,2,482.04999999999995,90,45.0,241.02499999999998,4,2,2,422,Others
12506.0,2011-04-21 08:54:00,233,0,1,73.5,23,23.0,73.5,1,1,1,111,At Risk
12507.0,2011-07-28 17:09:00,134,164,3,1304.81,894,298.0,434.93666666666667,2,3,4,234,Others
12508.0,2011-11-13 15:37:00,26,2,2,398.27,272,136.0,199.135,4,2,2,422,Others
12509.0,2011-02-28 14:45:00,284,0,1,176.5,55,55.0,176.5,1,1,1,111,At Risk
12510.0,2011-07-20 10:15:00,143,182,2,982.5699999999999,353,176.5,491.28499999999997,2,2,4,224,At Risk
12512.0,2011-10-04 14:55:00,66,0,2,138.03,99,49.5,69.015,3,2,1,321,Others
12513.0,2011-08-19 10:51:00,113,0,1,612.29,462,462.0,612.29,2,1,3,213,At Risk
12514.0,2011-03-17 16:38:00,267,0,1,1017.68,440,440.0,1017.68,1,1,4,114,At Risk
12515.0,2010-12-21 15:43:00,353,0,1,383.7,131,131.0,383.7,1,1,2,112,At Risk
12516.0,2011-09-23 09:13:00,78,102,2,1312.06,875,437.5,656.03,2,2,4,224,At Risk
12517.0,2011-11-11 14:04:00,28,161,5,2502.84,1371,274.2,500.56800000000004,4,4,5,445,Loyal
12518.0,2011-12-09 10:13:00,1,109,5,2056.89,1318,263.6,411.378,5,4,4,544,Loyal
12519.0,2011-10-07 09:26:00,64,0,1,340.84,183,183.0,340.84,3,1,2,312,Others
12520.0,2011-09-21 15:23:00,79,194,5,2634.26,1439,287.8,526.8520000000001,2,4,5,245,Others
12521.0,2011-07-20 10:51:00,143,0,1,599.68,309,309.0,599.68,2,1,3,213,At Risk
12522.0,2011-10-31 15:30:00,39,12,2,192.72,194,97.0,96.36,3,2,1,321,Others
12523.0,2011-11-20 12:55:00,19,312,11,1789.77,865,78.63636363636364,162.70636363636365,4,5,4,454,Loyal
12524.0,2011-11-30 15:31:00,9,324,8,4485.72,3699,462.375,560.715,5,5,5,555,Champion
12526.0,2011-12-09 12:09:00,1,93,3,1316.66,632,210.66666666666666,438.8866666666667,5,3,4,534,Big Spender
12527.0,2011-09-19 11:55:00,82,243,3,348.71000000000004,234,78.0,116.23666666666668,2,3,2,232,Others
12528.0,2011-11-30 14:40:00,9,303,6,1933.48,756,126.0,322.24666666666667,5,5,4,554,Loyal
12530.0,2011-10-11 12:34:00,60,277,4,1662.28,913,228.25,415.57,3,4,4,344,Others
12531.0,2011-11-25 11:12:00,15,0,1,125.22,45,45.0,125.22,4,1,1,411,Others
12532.0,2011-11-09 13:47:00,30,0,1,349.83000000000004,153,153.0,349.83000000000004,4,1,2,412,Others
12534.0,2011-08-01 10:26:00,131,0,1,1089.18,651,651.0,1089.18,2,1,4,214,At Risk
12535.0,2011-09-09 08:48:00,92,94,2,716.35,219,109.5,358.175,2,2,3,223,At Risk
12536.0,2011-10-27 14:20:00,43,15,3,12601.830000000002,2803,934.3333333333334,4200.610000000001,3,3,5,335,Others
12538.0,2011-11-10 17:16:00,29,0,1,363.95,191,191.0,363.95,4,1,2,412,Others
12539.0,2011-11-17 13:30:00,22,311,4,5568.35,2067,516.75,1392.0875,4,4,5,445,Loyal
12540.0,2011-11-20 11:31:00,20,342,17,13400.24,6685,393.2352941176471,788.2494117647059,4,5,5,455,Loyal
12541.0,2011-11-10 10:40:00,30,251,3,981.18,680,226.66666666666666,327.06,4,3,4,434,Big Spender
12544.0,2011-11-03 16:15:00,36,0,1,372.7,136,136.0,372.7,3,1,2,312,Others
12545.0,2011-09-25 13:39:00,75,184,2,1000.39,523,261.5,500.195,2,2,4,224,At Risk
12546.0,2011-10-24 12:09:00,47,31,2,1161.5,633,316.5,580.75,3,2,4,324,Others
12547.0,2011-05-26 12:38:00,198,82,2,207.79999999999998,134,67.0,103.89999999999999,1,2,1,121,At Risk
12548.0,2011-06-26 15:35:00,166,0,1,95.19999999999999,49,49.0,95.19999999999999,2,1,1,211,At Risk
12550.0,2011-09-21 14:35:00,79,0,1,964.83,569,569.0,964.83,2,1,4,214,At Risk
12551.0,2010-12-17 11:23:00,358,0,1,168.0,100,100.0,168.0,1,1,1,111,At Risk
12552.0,2011-11-01 10:02:00,39,0,2,437.82,88,44.0,218.91,3,2,2,322,Others
12553.0,2011-12-01 16:38:00,8,321,10,3692.28,1965,196.5,369.228,5,5,5,555,Champion
12556.0,2011-10-20 13:06:00,50,100,2,603.71,358,179.0,301.855,3,2,3,323,Others
12557.0,2011-11-23 16:59:00,16,355,5,11990.960000000001,4384,876.8,2398.192,4,4,5,445,Loyal
12558.0,2011-12-02 10:41:00,8,0,1,269.96,196,196.0,269.96,5,1,2,512,New Customer
12559.0,2011-02-02 09:49:00,311,8,2,561.71,283,141.5,280.855,1,2,3,123,At Risk
12560.0,2011-12-04 13:54:00,5,137,3,2134.01,1110,370.0,711.3366666666667,5,3,5,535,Big Spender
12561.0,2011-02-10 11:39:00,303,0,1,238.85,177,177.0,238.85,1,1,1,111,At Risk
12562.0,2011-12-01 17:20:00,8,190,7,3781.7400000000002,1779,254.14285714285714,540.2485714285715,5,5,5,555,Champion
12564.0,2011-03-23 14:55:00,261,0,1,456.9,133,133.0,456.9,1,1,2,112,At Risk
12565.0,2011-02-24 10:34:00,289,0,1,145.92,80,80.0,145.92,1,1,1,111,At Risk
12566.0,2011-09-14 14:30:00,86,0,1,351.65,265,265.0,351.65,2,1,2,212,At Risk
12567.0,2011-11-17 11:02:00,23,346,10,9401.28,4305,430.5,940.128,4,5,5,455,Loyal
12569.0,2011-12-07 16:24:00,2,250,32,4124.69,1801,56.28125,128.8965625,5,5,5,555,Champion
12571.0,2011-10-31 10:19:00,40,81,2,519.61,523,261.5,259.805,3,2,3,323,Others
12572.0,2011-12-01 09:20:00,9,43,2,1020.42,452,226.0,510.21,5,2,4,524,Big Spender
12573.0,2011-04-26 15:52:00,227,0,1,160.54000000000002,84,84.0,160.54000000000002,1,1,1,111,At Risk
12574.0,2011-01-28 09:20:00,316,0,1,218.45,61,61.0,218.45,1,1,1,111,At Risk
12576.0,2011-11-04 10:11:00,36,268,5,1315.83,967,193.4,263.166,3,4,4,344,Others
12577.0,2011-11-04 13:24:00,35,323,3,657.8,472,157.33333333333334,219.26666666666665,3,3,3,333,Others
12578.0,2011-11-18 13:30:00,21,308,2,2794.51,1196,598.0,1397.255,4,2,5,425,Big Spender
12579.0,2011-09-22 17:15:00,78,0,1,440.42,285,285.0,440.42,2,1,2,212,At Risk
12580.0,2011-04-07 10:24:00,247,0,1,415.7,238,238.0,415.7,1,1,2,112,At Risk
12581.0,2011-10-31 08:56:00,40,0,1,197.71,161,161.0,197.71,3,1,1,311,Others
12582.0,2011-04-15 08:45:00,239,49,2,511.36,300,150.0,255.68,1,2,3,123,At Risk
12583.0,2011-12-07 08:07:00,3,370,15,7281.38,5060,337.3333333333333,485.42533333333336,5,5,5,555,Champion
12584.0,2011-12-06 09:35:00,4,276,9,2338.15,416,46.22222222222222,259.7944444444445,5,5,5,555,Champion
12585.0,2011-04-19 13:39:00,234,117,2,2040.1,1279,639.5,1020.05,1,2,4,124,At Risk
12586.0,2011-11-22 16:24:00,17,0,1,196.94000000000003,79,79.0,196.94000000000003,4,1,1,411,Others
12587.0,2011-12-02 12:47:00,8,0,1,144.0,51,51.0,144.0,5,1,1,511,New Customer
12588.0,2011-10-31 15:01:00,39,0,1,214.89999999999998,53,53.0,214.89999999999998,3,1,1,311,Others
12589.0,2011-11-11 10:19:00,29,115,2,646.68,306,153.0,323.34,4,2,3,423,Others
12590.0,2011-05-12 14:52:00,211,0,2,9864.26,4283,2141.5,4932.13,1,2,5,125,At Risk
12591.0,2011-01-26 14:35:00,317,0,1,452.84999999999997,228,228.0,452.84999999999997,1,1,2,112,At Risk
12592.0,2011-09-08 15:04:00,92,121,2,437.6,290,145.0,218.8,2,2,2,222,At Risk
12593.0,2011-08-23 12:43:00,109,110,3,418.09999999999997,206,68.66666666666667,139.36666666666665,2,3,2,232,Others
12594.0,2011-11-02 12:20:00,38,285,10,3338.2200000000003,1777,177.7,333.822,3,5,5,355,Others
12596.0,2011-10-19 13:02:00,51,190,2,618.27,474,237.0,309.135,3,2,3,323,Others
12597.0,2011-11-20 13:33:00,19,248,4,3811.22,2236,559.0,952.805,4,4,5,445,Loyal
12598.0,2011-11-30 12:18:00,10,275,8,3023.08,1964,245.5,377.885,5,5,5,555,Champion
12599.0,2011-11-10 13:34:00,29,275,7,1032.58,956,136.57142857142858,147.51142857142855,4,5,4,454,Loyal
12600.0,2011-11-11 10:29:00,29,342,10,2599.04,774,77.4,259.904,4,5,5,455,Loyal
12601.0,2011-06-03 10:17:00,190,142,5,577.0600000000001,245,49.0,115.412,1,4,3,143,Others
12602.0,2011-10-12 11:22:00,59,0,1,153.12,162,162.0,153.12,3,1,1,311,Others
12603.0,2011-11-18 10:42:00,22,0,1,739.1999999999999,63,63.0,739.1999999999999,4,1,3,413,Others
12604.0,2011-09-21 14:08:00,79,182,2,254.18,201,100.5,127.09,2,2,2,222,At Risk
12607.0,2011-10-10 16:06:00,60,0,1,1579.51,1228,1228.0,1579.51,3,1,4,314,Others
12609.0,2011-09-22 16:34:00,78,240,3,1126.85,648,216.0,375.6166666666666,2,3,4,234,Others
12610.0,2011-11-17 09:34:00,23,103,5,2099.54,1049,209.8,419.908,4,4,5,445,Loyal
12611.0,2011-10-18 13:12:00,52,0,1,1193.32,846,846.0,1193.32,3,1,4,314,Others
12612.0,2011-09-26 15:35:00,74,0,1,704.0400000000001,262,262.0,704.0400000000001,2,1,3,213,At Risk
12613.0,2011-10-13 14:59:00,57,204,5,3344.38,1644,328.8,668.876,3,4,5,345,Others
12614.0,2011-03-07 10:22:00,278,0,1,315.6,76,76.0,315.6,1,1,2,112,At Risk
12615.0,2011-12-07 15:02:00,2,166,4,2291.19,1376,344.0,572.7975,5,4,5,545,Loyal
12616.0,2011-09-05 15:17:00,95,202,2,713.3,284,142.0,356.65,2,2,3,223,At Risk
12617.0,2011-11-10 14:39:00,29,0,1,355.53,213,213.0,355.53,4,1,2,412,Others
12618.0,2011-11-18 11:10:00,22,0,1,177.31,96,96.0,177.31,4,1,1,411,Others
12619.0,2011-11-23 14:52:00,16,237,9,3641.24,3378,375.3333333333333,404.5822222222222,4,5,5,455,Loyal
12620.0,2011-11-25 10:20:00,15,189,3,1339.41,1181,393.6666666666667,446.47,4,3,4,434,Big Spender
12621.0,2011-12-08 11:25:00,2,364,20,13689.67,7440,372.0,684.4835,5,5,5,555,Champion
12622.0,2011-04-21 16:39:00,232,0,1,180.1,69,69.0,180.1,1,1,1,111,At Risk
12623.0,2011-03-08 13:50:00,276,0,1,305.1,191,191.0,305.1,1,1,2,112,At Risk
12624.0,2011-08-25 15:04:00,106,71,2,641.13,355,177.5,320.565,2,2,3,223,At Risk
12625.0,2011-05-12 09:54:00,212,107,2,2683.82,1612,806.0,1341.91,1,2,5,125,At Risk
12626.0,2011-11-16 16:06:00,23,303,9,6620.48,3453,383.6666666666667,735.6088888888888,4,5,5,455,Loyal
12627.0,2011-11-29 12:07:00,11,129,7,4478.53,2752,393.14285714285717,639.79,5,5,5,555,Champion
12628.0,2011-12-05 13:15:00,4,60,3,786.46,448,149.33333333333334,262.15333333333336,5,3,3,533,New Customer
12630.0,2011-11-30 10:48:00,10,34,2,1270.88,548,274.0,635.44,5,2,4,524,Big Spender
12631.0,2011-10-13 13:53:00,57,0,1,640.5,236,236.0,640.5,3,1,3,313,Others
12633.0,2011-10-12 11:40:00,59,229,4,2163.98,1162,290.5,540.995,3,4,5,345,Others
12635.0,2011-09-11 11:04:00,90,65,2,1689.18,1172,586.0,844.59,2,2,4,224,At Risk
12637.0,2011-10-03 13:46:00,67,256,8,6021.9,3002,375.25,752.7375,3,5,5,355,Others
12638.0,2011-11-06 13:11:00,33,0,1,671.69,577,577.0,671.69,4,1,3,413,Others
12639.0,2011-04-15 12:48:00,239,0,1,486.1,201,201.0,486.1,1,1,2,112,At Risk
12640.0,2011-11-16 11:52:00,24,57,3,1174.58,311,103.66666666666667,391.52666666666664,4,3,4,434,Big Spender
12641.0,2011-08-16 13:26:00,115,0,1,185.9,72,72.0,185.9,2,1,1,211,At Risk
12642.0,2011-11-14 15:03:00,25,82,3,1013.26,552,184.0,337.75333333333333,4,3,4,434,Big Spender
12643.0,2011-08-03 12:56:00,128,204,6,3344.64,1808,301.3333333333333,557.4399999999999,2,5,5,255,Others
12644.0,2011-08-02 10:33:00,130,0,1,477.91,325,325.0,477.91,2,1,2,212,At Risk
12645.0,2011-11-06 12:38:00,34,282,4,1775.18,1084,271.0,443.795,3,4,4,344,Others
12646.0,2011-12-05 10:14:00,5,44,2,1346.97,897,448.5,673.485,5,2,4,524,Big Spender
12647.0,2011-11-17 12:56:00,22,346,12,3722.82,1431,119.25,310.235,4,5,5,455,Loyal
12648.0,2011-07-08 11:55:00,155,0,1,318.05,160,160.0,318.05,2,1,2,212,At Risk
12649.0,2011-08-24 14:41:00,107,105,3,623.51,586,195.33333333333334,207.83666666666667,2,3,3,233,Others
12650.0,2011-12-06 16:34:00,3,0,1,314.44,254,254.0,314.44,5,1,2,512,New Customer
12651.0,2011-01-09 12:46:00,335,0,1,114.0,78,78.0,114.0,1,1,1,111,At Risk
12652.0,2011-01-12 15:00:00,331,0,1,919.98,505,505.0,919.98,1,1,3,113,At Risk
12653.0,2011-07-14 10:41:00,149,147,2,2209.85,919,459.5,1104.925,2,2,5,225,At Risk
12654.0,2011-11-29 10:10:00,11,284,5,601.98,264,52.8,120.396,5,4,3,543,Loyal
12656.0,2011-11-22 13:42:00,17,216,5,4051.17,1723,344.6,810.234,4,4,5,445,Loyal
12657.0,2011-11-28 15:47:00,11,67,4,1643.18,1044,261.0,410.795,5,4,4,544,Loyal
12658.0,2011-11-21 10:22:00,19,0,1,686.05,320,320.0,686.05,4,1,3,413,Others
